Mốc 500,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Mốc 1k,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Mốc 3k,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl
7,4,Bột vàng,,100,,7,4,Bột vàng,,200,,7,4,Bột vàng,,200
7,5,Ngôi sao may mắn,,50,,7,6,Mai rùa,,20,,7,6,Mai rùa,,20
7,6,Mai rùa,,10,,7,9,Đá ác quỷ,,200,,7,9,Đá ác quỷ,,200
7,9,Đá ác quỷ,,100,,4,225,Hải thạch 5,,5,,4,225,Hải thạch 5,,5
,,,,,,,,,,,,4,159,XP skill,,20
,,,,,,,,,,,,4,232,Vé vòng quay may mắn,,20
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mốc 5k,,,,,,Mốc 10k,,,,,,Mốc 30k,,,,
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl
7,4,Bột vàng,,200,,7,4,Bột vàng,,200,,7,4,Bột vàng,,500
7,6,Mai rùa,,20,,7,6,Mai rùa,,20,,7,6,Mai rùa,,20
7,9,Đá ác quỷ,,200,,4,339,Búa sơ cấp,,5,,4,339,Búa sơ cấp,,15
4,339,Búa sơ cấp,,5,,4,159,XP skill,,20,,4,159,XP skill,,50
4,159,XP skill,,20,,4,349,Túi beri,,10,,4,349,Túi beri,,20
4,232,Vé vòng quay may mắn,,20,,4,232,Vé vòng quay may mắn,,40,,4,131,Rương cam cùng hệ lv100,,50
,,,,,,,,,,,,105,77,Thời trang Chuột Thần Tài,,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mốc 50k,,,,,,Mốc 100k,,,,,,Mốc 200k,,,,
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl
7,4,Bột vàng,,500,,7,4,Bột vàng,,500,,7,4,Bột vàng,,5000
7,6,Mai rùa,,20,,7,6,Mai rùa,,20,,7,6,Mai rùa,,25
4,339,Búa sơ cấp,,20,,4,339,Búa sơ cấp,,25,,4,339,Búa sơ cấp,,30
4,159,XP skill,,60,,4,159,XP skill,,80,,4,159,XP skill,,100
4,349,Túi beri,,10,,4,349,Túi beri,,10,,4,349,Túi beri,,100
4,131,Rương cam cùng hệ lv100,,50,,4,131,Rương cam cùng hệ lv100,,50,,4,131,Rương cam cùng hệ lv100,,50
4,457,Búa đục dial,,10,,4,457,Búa đục dial,,10,,4,457,Búa đục dial,,1
4,327,Đá khảm ngẫu nhiên,,20,,4,323,Búa siêu cấp,,1,,4,327,Đá khảm ngẫu nhiên,,20
,,,,,,4,327,Đá khảm ngẫu nhiên,,20,,4,324,Đá khảm vô cực,,1
,,,,,,4,414,Kỹ năng đơn,,1,,,,
,,,,,,4,367,Đá Hổ phách 6,,10,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nạp 50K,,,,,,Nạp 100K,,,,,,,,,,
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,,,,,
7,4,Bột vàng,,500,,7,4,Bột vàng,,500,,,,,,
4,6,Mai rùa,,20,,4,6,Mai rùa,,20,,,,,,
4,339,Búa sơ cấp,,5,,4,339,Búa sơ cấp,,5,,,,,,
4,10,Khiên,,3,,4,221,Đá hải thạch 1,,100,,,,,,
4,159,XP skill,,20,,4,159,XP skill,,20,,,,,,
4,349,Túi beri,,10,,4,349,Túi beri,,10,,,,,,
4,367,Đá Hổ phách 6,,1,,4,367,Đá Hổ phách 6,,10,,,,,,
4,455,Rương dial,,5,,105,127,Thời trang Doflamingo,,1,,,,,,
,,,,,,7,13,Lông vũ,,200,,,,,,
,,,,,,,,,,,,,,,,
Nạp 300K,,,,,,Nạp 500K,,,,,,,,,,
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,,,,,
4,226,Đá hải thạch 6,,10,,4,226,Đá hải thạch 6,,10,,,,,,
4,159,XP skill,,20,,4,159,XP skill,,20,,,,,,
4,349,Túi beri,,30,,4,349,Túi beri,,30,,,,,,
4,367,Đá Hổ phách 6,,10,,4,367,Đá Hổ phách 6,,10,,,,,,
105,116,Trang phục Raid Suit Judge,,1,,105,118,Trang phục Mihawk,,1,,,,,,
4,457,Búa đục dial,,10,,4,457,Búa đục dial,,10,,,,,,
4,655,Topaz - Saphia thần thoại,,5,,4,665,Ngọc - Saphia thần thoại,,5,,,,,,
4,324,Đá khảm siêu cấp,,5,,4,327,Đá khảm ngẩu nhiên,,5,,,,,,
105,95,Trang phục Thần Tài,,1,,4,325,Đá khảm siêu cấp S,,5,,,,,,
Nạp 600K,,,,,,Nạp 1M,,,,,,,,,,
Type,id ,name ,icon,sl,,Type,id ,name ,icon,sl,,,,,,
105,234,Trang phục Kaido Bách Thú,,1,,105,74,Trang phục Râu đen,,1,,,,,,
4,1002,Hộp thời trang cao,,1,,105,119,Trang phục Mihawk Gold,,1,,,,,,
4,226,Đá hải thạch 6,,150,,4,226,Đá hải thạch 6,,150,,,,,,
4,159,XP skill,,200,,4,159,XP skill,,200,,,,,,
4,349,Túi beri,,200,,4,349,Túi beri,,200,,,,,,
4,325,Đá khảm siêu cấp S,,5,,4,325,Đá khảm siêu cấp S,,5,,,,,,
4,1004,Rương đá thần thoại tự chọn,,10,,4,1004,Rương đá thần thoại tự chọn,,10,,,,,,
4,413,Tiến cấp đơn,,20,,4,413,Tiến cấp đơn,,20,,,,,,
7,10,Khiên,,100,,7,10,Khiên,,100,,,,,,
